,Furnished_Type,Tenants_Preferred,Sqft,Property_type,BHK,Location,Floor,Area_type,Facing,Balcony,Overlooking,Availability,Bathroom,Monthly_Charges,car_parking
786,Semi-Furnished,Bachelors,2872,Apartment,3,Kavuri Hills,2,Carpet Area,West,3,Garden/Park,Immediately,4,63000.0,2
787,Unfurnished,Bachelors,825,Apartment,2,Bandlaguda Jagir,0,Super Area,North,0,Main Road,Immediately,2,11000.0,0
788,Furnished,Bachelors/Family,2030,Apartment,3,Yousufguda,1,Carpet Area,West,2,Garden/Park,Immediately,3,60000.0,0
789,Semi-Furnished,Family,1300,Apartment,3,Kukatpally,1,Carpet Area,East,2,Garden/Park,Immediately,2,17500.0,0
790,Semi-Furnished,Bachelors/Family,2050,Apartment,3,Gachibowli,0,Carpet Area,Unknown,0,Pool,Immediately,3,32000.0,0
791,Unknown,Bachelors/Family,1600,Unknown,0,Gajularamaram,0,Carpet Area,Unknown,0,Unknown,Immediately,0,18000.0,0
792,Furnished,Family,1933,Apartment,3,Kukatpally,19,Super Area,East,3,Main Road,Immediately,3,37000.0,1
793,Semi-Furnished,Bachelors,1800,Apartment,3,Kokapet,13,Carpet Area,North,2,Pool,Immediately,3,38000.0,1
794,Semi-Furnished,Family,1000,House,1,Ameenpur,0,Carpet Area,East,2,Unknown,Immediately,1,7500.0,0
795,Unfurnished,Bachelors/Family,1400,House,1,Gudi Malkapur,2,Carpet Area,North-West,1,Unknown,Immediately,2,8500.0,0
796,Unfurnished,Bachelors,900,House,2,Puppalaguda,1,Carpet Area,North,3,Unknown,Immediately,2,15000.0,0
797,Unfurnished,Bachelors,900,Apartment,2,Kukatpally,1,Super Area,North,1,Main Road,Immediately,2,14500.0,0
798,Semi-Furnished,Bachelors/Family,1855,Apartment,3,Gachibowli,8,Super Area,Unknown,3,Unknown,Immediately,3,28000.0,0
799,Semi-Furnished,Family,1100,Apartment,2,Chandanagar,1,Super Area,North,1,Main Road,Immediately,2,15000.0,1
800,Furnished,Bachelors,1676,Apartment,3,Muppas Panchavati Colony,3,Carpet Area,West,1,Main Road,Immediately,3,25000.0,0
801,Unfurnished,Bachelors,2000,Apartment,2,Nallagandla,4,Super Area,Unknown,2,Unknown,Immediately,2,16500.0,0
802,Semi-Furnished,Bachelors,2100,Apartment,3,Hitech City,1,Carpet Area,East,2,Main Road,Immediately,3,20000.0,0
803,Semi-Furnished,Bachelors/Family,1300,Apartment,3,Sun City,2,Carpet Area,South-East,2,Main Road,Immediately,4,19000.0,1
804,Furnished,Bachelors/Family,1800,Apartment,3,Nallagandla,14,Carpet Area,Unknown,2,Unknown,Immediately,3,24000.0,0
805,Unfurnished,Bachelors,950,House,2,Trimulgherry,0,Carpet Area,East,2,Main Road,Immediately,2,10000.0,0
806,Unfurnished,Family,800,House,1,Chandanagar,3,Carpet Area,North,1,Garden/Park,From Mar '22,1,11000.0,1
807,Unfurnished,Family,1100,Apartment,2,Anupama Homes,1,Carpet Area,East,2,Garden/Park,Immediately,2,18999.0,1
808,Semi-Furnished,Family,930,Apartment,2,Santosh Nagar-Mehdipatnam,3,Carpet Area,East,2,Garden/Park,From Mar '22,2,15000.0,0
809,Furnished,Bachelors/Family,890,Apartment,2,Chandanagar,1,Carpet Area,East,0,Pool,Immediately,2,21000.0,1
810,Semi-Furnished,Bachelors,1141,Apartment,2,Kondapur,3,Super Area,East,1,Unknown,Immediately,2,17000.0,0
811,Unfurnished,Family,1200,House,3,Badangpet,1,Carpet Area,East,2,Main Road,Immediately,3,15000.0,0
812,Unfurnished,Bachelors,1100,Apartment,2,Bachupally,0,Carpet Area,North-East,2,Main Road,Immediately,3,9000.0,0
813,Semi-Furnished,Bachelors/Family,2600,Apartment,4,Gachibowli,6,Super Area,East,3,Garden/Park,Immediately,4,40000.0,2
814,Semi-Furnished,Family,1700,Apartment,3,LB Nagar,1,Super Area,South-East,2,Unknown,Immediately,3,21000.0,0
815,Semi-Furnished,Bachelors,1080,Apartment,2,Gachibowli,1,Super Area,Unknown,1,Unknown,Immediately,2,17000.0,0
816,Unfurnished,Family,700,House,1,Kompally,1,Carpet Area,East,2,Unknown,Immediately,1,8500.0,2
817,Semi-Furnished,Bachelors/Family,1590,Apartment,3,Miyapur,3,Carpet Area,East,3,Pool,Immediately,3,22000.0,1
818,Semi-Furnished,Family,2170,Apartment,3,Kokapet,6,Super Area,West,3,Unknown,From Mar '22,3,40000.0,2
819,Semi-Furnished,Family,1650,Apartment,3,Nizampet,2,Carpet Area,West,3,Garden/Park,Immediately,3,22000.0,1
820,Semi-Furnished,Family,1525,Apartment,3,Kakatiya Hills,4,Super Area,East,2,Garden/Park,Immediately,3,25000.0,1
821,Unfurnished,Bachelors/Family,1730,Apartment,3,Gopanapalli,1,Carpet Area,Unknown,2,Unknown,Immediately,3,29000.0,0
822,Unfurnished,Bachelors/Family,1100,Apartment,2,Uppal,1,Carpet Area,North-West,1,Garden/Park,Immediately,2,11000.0,0
823,Semi-Furnished,Bachelors/Family,220,Villa,3,Dammaiguda,0,Carpet Area,West,1,Main Road,Immediately,3,22000.0,1
824,Semi-Furnished,Bachelors/Family,1600,Apartment,3,Kokapet,7,Super Area,West,1,Pool,Immediately,3,34000.0,0
825,Unfurnished,Bachelors/Family,1250,House,2,Shameerpet,1,Super Area,Unknown,0,Unknown,Immediately,2,8000.0,0
