,Furnished_Type,Tenants_Preferred,Sqft,Property_type,BHK,Location,Floor,Area_type,Facing,Balcony,Overlooking,Availability,Bathroom,Monthly_Charges,car_parking
451,Semi-Furnished,Bachelors/Family,2100,Apartment,4,Kokapet,5,Carpet Area,North-East,2,Garden/Park,Immediately,3,40000.0,1
452,Unfurnished,Bachelors,1200,Apartment,3,Sun City,1,Carpet Area,West,2,Unknown,Immediately,2,14000.0,0
453,Unfurnished,Family,900,House,2,GREENHILLS COLONY MOULALI,2,Carpet Area,North-East,2,Unknown,Immediately,2,9000.0,0
454,Semi-Furnished,Bachelors/Family,1300,Apartment,3,Manikonda,0,Carpet Area,East,2,Main Road,Immediately,2,25000.0,1
455,Semi-Furnished,Family,7300,Villa,5,Kokapet,0,Super Area,East,3,Garden/Park,Immediately,6,300000.0,4
456,Unfurnished,Bachelors/Family,1200,House,3,Medchal,1,Super Area,Unknown,0,Unknown,Immediately,3,11000.0,0
457,Unfurnished,Bachelors,1100,House,2,Vidya Nagar,2,Super Area,East,1,Main Road,Immediately,3,13500.0,0
458,Semi-Furnished,Bachelors/Family,1530,House,3,Miyapur,2,Carpet Area,East,1,Main Road,Immediately,2,21000.0,1
459,Unfurnished,Bachelors,0,Apartment,2,Medchal Road,1,Super Area,North,1,Main Road,Immediately,2,10000.0,1
460,Semi-Furnished,Bachelors/Family,1015,Apartment,2,Mayuri Nagar,4,Carpet Area,Unknown,1,Garden/Park,Immediately,2,13000.0,0
461,Semi-Furnished,Bachelors,1200,House,3,Trimulgherry,1,Carpet Area,East,2,Main Road,Immediately,3,14000.0,0
462,Unfurnished,Bachelors,700,Apartment,2,Badangpet,1,Carpet Area,East,1,Unknown,Immediately,2,10000.0,0
463,Furnished,Bachelors/Family,1039,Apartment,2,Narsingi,2,Carpet Area,East,1,Pool,Immediately,2,26000.0,0
464,Furnished,Family,1250,Villa,2,Mallampet,0,Carpet Area,East,0,Main Road,Immediately,2,13500.0,0
465,Semi-Furnished,Bachelors/Family,1425,Villa,3,Rajendra Nagar,0,Super Area,East,1,Main Road,Immediately,3,20000.0,1
466,Unfurnished,Bachelors,750,House,2,Gudi Malkapur,1,Carpet Area,South,2,Unknown,Immediately,2,10000.0,0
467,Semi-Furnished,Bachelors/Family,1400,Apartment,2,Hyderguda,4,Carpet Area,Unknown,3,Unknown,Immediately,2,21000.0,0
468,Semi-Furnished,Bachelors/Family,1200,House,2,Badangpet,0,Carpet Area,Unknown,0,Unknown,Immediately,2,7500.0,0
469,Semi-Furnished,Bachelors/Family,1700,Apartment,3,Kondapur,1,Carpet Area,Unknown,2,Unknown,Immediately,3,34000.0,0
470,Unfurnished,Bachelors/Family,1100,House,3,Mehdipatnam,1,Super Area,East,1,Unknown,Immediately,2,17000.0,1
471,Semi-Furnished,Family,1800,House,3,Hakimpet,0,Carpet Area,South,0,Main Road,Immediately,4,20000.0,2
472,Semi-Furnished,Bachelors/Family,2000,House,3,Ramachandrapuram-Bhel Township,1,Carpet Area,West,2,Garden/Park,Immediately,3,25000.0,0
473,Semi-Furnished,Bachelors,1200,Apartment,2,Tarnaka,3,Carpet Area,North,2,Pool,Immediately,2,18000.0,0
474,Semi-Furnished,Bachelors/Family,2100,Apartment,3,Kondapur,1,Super Area,Unknown,0,Unknown,Immediately,3,30000.0,0
475,Semi-Furnished,Bachelors/Family,1784,Apartment,3,Kokapet,2,Carpet Area,North,2,Garden/Park,Immediately,3,25000.0,0
476,Furnished,Bachelors/Family,2400,House,3,Maruthi Nagar-Attapur,1,Carpet Area,West,4,Main Road,Immediately,4,42000.0,1
477,Unfurnished,Bachelors/Family,1100,Apartment,2,BHEL,3,Carpet Area,East,1,Unknown,Immediately,2,10000.0,0
478,Semi-Furnished,Bachelors/Family,1700,Apartment,3,Hitech City,2,Carpet Area,South,2,Unknown,Immediately,3,30000.0,0
479,Furnished,Bachelors/Family,1500,Apartment,3,Patrika Nagar,5,Carpet Area,East,2,Main Road,Immediately,2,37000.0,2
480,Unfurnished,Family,1600,Apartment,3,Manikonda,6,Carpet Area,East,2,Pool,Immediately,3,37000.0,2
481,Unfurnished,Bachelors,900,House,2,Saroor Nagar East,0,Carpet Area,North,1,Unknown,Immediately,2,11000.0,0
482,Unfurnished,Bachelors/Family,1600,Apartment,3,Begumpet,5,Carpet Area,East,2,Garden/Park,Immediately,3,78000.0,0
483,Semi-Furnished,Bachelors/Family,950,House,2,Khairatabad,0,Carpet Area,East,2,Unknown,Immediately,2,16000.0,1
484,Semi-Furnished,Bachelors/Family,500,House,2,Kamalapuri Colony,0,Carpet Area,East,2,Unknown,Immediately,2,25000.0,0
485,Unfurnished,Bachelors/Family,1500,Apartment,3,Attapur,3,Carpet Area,East,3,Unknown,Immediately,2,20000.0,0
486,Semi-Furnished,Bachelors/Family,170,Villa,3,Peerzadiguda,0,Carpet Area,East,2,Main Road,Immediately,3,25000.0,1
487,Semi-Furnished,Bachelors/Family,1100,House,2,TNGOS Colony Phase1,1,Carpet Area,North,1,Main Road,Immediately,2,21000.0,1
488,Unfurnished,Family,1800,Apartment,4,Champapet,0,Carpet Area,East,2,Unknown,Immediately,2,18000.0,1
489,Semi-Furnished,Bachelors/Family,1600,Apartment,3,Kalyan Nagar,2,Carpet Area,North,0,Main Road,Immediately,2,20000.0,1
490,Semi-Furnished,Family,1650,Apartment,3,Gopanapalli Thanda,1,Super Area,West,2,Garden/Park,Immediately,3,30000.0,2
491,Semi-Furnished,Bachelors/Family,1000,Apartment,2,Begumpet,6,Super Area,Unknown,0,Unknown,Immediately,2,20000.0,0
492,Semi-Furnished,Bachelors/Family,2000,Apartment,3,Hafeezpet,8,Super Area,Unknown,0,Unknown,Immediately,3,30000.0,0
493,Semi-Furnished,Family,1200,House,2,Kukatpally,0,Carpet Area,East,1,Main Road,Immediately,2,18000.0,1
494,Furnished,Bachelors,1750,Apartment,3,Kokapet,2,Carpet Area,North,2,Unknown,Immediately,3,30000.0,0
495,Semi-Furnished,Bachelors/Family,2640,Apartment,4,Gachibowli,1,Carpet Area,East,3,Pool,From Feb '22,4,50000.0,4
496,Semi-Furnished,Family,1134,Apartment,2,Attapur,2,Super Area,East,0,Unknown,Immediately,2,17000.0,1
497,Furnished,Bachelors/Family,1000,Apartment,2,Suchitra Circle,2,Super Area,Unknown,0,Unknown,Immediately,2,25000.0,1
498,Semi-Furnished,Family,1890,Apartment,3,Gachibowli,5,Super Area,East,0,Unknown,Immediately,3,38000.0,2
499,Semi-Furnished,Family,1700,House,2,Habsiguda,0,Carpet Area,North,0,Garden/Park,Immediately,2,12000.0,1
500,Semi-Furnished,Bachelors/Family,1725,Apartment,3,Kondapur,5,Carpet Area,Unknown,2,Unknown,Immediately,3,22500.0,1
501,Semi-Furnished,Family,1550,Apartment,3,Bachupally,7,Carpet Area,West,2,Garden/Park,Immediately,3,30000.0,2
502,Unfurnished,Family,815,Apartment,2,Lingampally-Serilingampally,1,Carpet Area,East,1,Garden/Park,Immediately,2,12500.0,1
503,Unfurnished,Bachelors,850,Apartment,2,Seetaphalmandi,2,Carpet Area,North,1,Main Road,Immediately,2,11500.0,0
504,Semi-Furnished,Family,800,Penthouse,2,Chandanagar,2,Carpet Area,North-East,1,Unknown,Immediately,2,12500.0,0
505,Unfurnished,Family,1500,Apartment,3,Toli Chowki,5,Carpet Area,Unknown,0,Unknown,Immediately,2,22000.0,0
506,Semi-Furnished,Family,2083,Apartment,3,Kokapet,4,Super Area,East,0,Unknown,Immediately,4,40000.0,2
507,Unfurnished,Family,1000,Apartment,2,Uppal,3,Carpet Area,East,2,Unknown,Immediately,2,13000.0,2
508,Semi-Furnished,Bachelors/Family,1370,House,2,Dammaiguda,0,Carpet Area,South-West,2,Unknown,Immediately,2,8500.0,0
509,Unfurnished,Bachelors/Family,1400,House,3,Neknampur,1,Carpet Area,East,1,Main Road,Immediately,2,12500.0,0
510,Semi-Furnished,Bachelors/Family,2200,House,3,Himayat Sagar Village,2,Carpet Area,Unknown,1,Unknown,Immediately,3,36000.0,0
511,Semi-Furnished,Family,1285,Apartment,2,Manikonda,2,Super Area,West,2,Pool,Immediately,2,22000.0,1
512,Unfurnished,Bachelors,1200,Apartment,3,Bowrampet,1,Carpet Area,West,2,Unknown,Immediately,2,13500.0,0
513,Unfurnished,Bachelors,950,House,2,Manneguda,1,Carpet Area,Unknown,0,Unknown,Immediately,2,9000.0,0
514,Unfurnished,Family,1300,House,2,Dammaiguda,2,Carpet Area,West,1,Unknown,Immediately,2,10000.0,0
515,Unfurnished,Bachelors/Family,750,Apartment,2,Mythri Nagar,2,Carpet Area,East,2,Main Road,Immediately,2,10000.0,1
516,Furnished,Bachelors/Family,880,Apartment,2,Sainikpuri,2,Super Area,Unknown,0,Unknown,Immediately,2,15000.0,0
517,Unfurnished,Family,900,House,2,Hasthinapuram,2,Carpet Area,Unknown,0,Unknown,Immediately,2,9500.0,0
518,Semi-Furnished,Bachelors,1350,Apartment,3,Brindavan Colony-Toli Chowki,3,Super Area,West,2,Unknown,Immediately,2,17500.0,4
519,Semi-Furnished,Family,1625,Apartment,3,Madinaguda,5,Carpet Area,East,2,Main Road,From Mar '22,3,26000.0,1
520,Semi-Furnished,Bachelors,1300,House,3,Neredmet,0,Carpet Area,West,1,Main Road,Immediately,3,25000.0,0
521,Unfurnished,Bachelors/Family,1380,Apartment,2,Adibatla,3,Super Area,West,2,Garden/Park,Immediately,2,14000.0,0
522,Semi-Furnished,Family,1480,House,3,Santosh Nagar-Mehdipatnam,1,Carpet Area,South,4,Main Road,Immediately,3,26000.0,1
523,Semi-Furnished,Family,1050,House,2,Beeramguda,1,Carpet Area,West,3,Unknown,From Apr '22,2,9000.0,1
524,Semi-Furnished,Bachelors/Family,1275,Apartment,3,Nalanda Nagar,1,Carpet Area,East,2,Main Road,Immediately,3,20000.0,1
525,Semi-Furnished,Bachelors/Family,1800,House,3,Kompally,2,Carpet Area,Unknown,2,Unknown,Immediately,3,32000.0,0
526,Unfurnished,Bachelors,1000,Apartment,2,Upperpally,2,Carpet Area,South,1,Unknown,Immediately,2,8500.0,0
527,Unfurnished,Bachelors/Family,1100,Apartment,2,Navodaya Colony,4,Carpet Area,East,1,Garden/Park,Immediately,2,22000.0,2
528,Furnished,Family,1560,Apartment,3,Champapet,5,Super Area,East,1,Garden/Park,Immediately,3,18000.0,5
529,Unfurnished,Bachelors/Family,1050,Apartment,2,ALIND Employees Colony,4,Super Area,East,0,Unknown,Immediately,2,15000.0,4
530,Semi-Furnished,Bachelors,1800,Apartment,3,Kokapet,5,Carpet Area,East,2,Garden/Park,Immediately,3,42000.0,0
531,Semi-Furnished,Bachelors,500,Apartment,3,Kondapur,1,Carpet Area,West,3,Main Road,Immediately,3,28000.0,0
532,Unfurnished,Family,1400,House,3,Yapral,0,Carpet Area,West,0,Main Road,Immediately,2,15000.0,0
533,Semi-Furnished,Bachelors/Family,1760,Apartment,3,Film Nagar,0,Carpet Area,North,3,Garden/Park,Immediately,3,32000.0,1
534,Semi-Furnished,Bachelors/Family,920,House,2,Nagarjuna Nagar colony,2,Super Area,Unknown,0,Unknown,Immediately,2,17500.0,0
535,Furnished,Bachelors/Family,1140,Apartment,2,Pragathi Nagar,5,Super Area,North,0,Main Road,From Mar '22,2,14000.0,3
536,Semi-Furnished,Bachelors/Family,1500,Apartment,3,Upparpally,1,Super Area,Unknown,2,Unknown,Immediately,3,16000.0,0
537,Unfurnished,Bachelors,1300,Apartment,3,Vanasthalipuram,3,Carpet Area,North,3,Garden/Park,Immediately,3,21000.0,0
538,Unfurnished,Bachelors/Family,1118,Apartment,2,Appa junction,10,Carpet Area,West,2,Unknown,Immediately,2,22000.0,0
539,Semi-Furnished,Bachelors/Family,1790,Apartment,3,Nizampet,2,Super Area,Unknown,0,Unknown,Immediately,3,13000.0,0
540,Semi-Furnished,Family,2400,Apartment,3,Appa junction,1,Carpet Area,North,0,Garden/Park,Immediately,3,35000.0,2
541,Furnished,Bachelors/Family,1000,House,2,Roma Enclave,0,Carpet Area,Unknown,1,Unknown,Immediately,2,6000.0,0
542,Semi-Furnished,Bachelors/Family,605,Apartment,2,Miapur,2,Carpet Area,Unknown,1,Unknown,Immediately,1,8000.0,0
543,Unfurnished,Bachelors,2000,Apartment,3,Madhapur,4,Super Area,East,0,Garden/Park,Immediately,4,32000.0,0
544,Furnished,Bachelors/Family,2100,Apartment,3,Uppal,1,Carpet Area,Unknown,3,Garden/Park,Immediately,3,1200.0,0
545,Semi-Furnished,Bachelors/Family,1275,Apartment,3,Nagarjuna Nagar,3,Carpet Area,Unknown,1,Unknown,Immediately,2,20000.0,0
546,Unknown,Bachelors/Family,1300,Apartment,3,Chanda Nagar,3,Carpet Area,Unknown,2,Unknown,Immediately,2,15000.0,0
547,Semi-Furnished,Bachelors/Family,1784,Apartment,3,Appa junction,15,Super Area,Unknown,0,Unknown,Immediately,3,28000.0,0
548,Unfurnished,Bachelors,500,Apartment,1,Allwyn Colony,2,Super Area,West,1,Unknown,Immediately,1,8000.0,0
549,Unfurnished,Bachelors,1550,Apartment,3,Vishali Nagar,3,Carpet Area,West,2,Garden/Park,Immediately,3,19000.0,0
550,Semi-Furnished,Family,1400,Apartment,3,Uppal,5,Carpet Area,West,2,Unknown,Immediately,3,20000.0,1
551,Semi-Furnished,Bachelors/Family,787,Apartment,3,Rajendra Nagar,1,Carpet Area,West,1,Main Road,Immediately,2,21740.0,1
552,Semi-Furnished,Bachelors,90,House,2,Bowenpally,1,Carpet Area,East,0,Main Road,Immediately,2,12500.0,0
553,Unfurnished,Family,1000,Apartment,2,Miyapur,0,Carpet Area,East,2,Unknown,Immediately,2,18000.0,0
554,Semi-Furnished,Family,1000,House,2,Nagole,1,Carpet Area,East,3,Main Road,Immediately,2,16000.0,0
555,Unfurnished,Bachelors,500,House,1,Old Bowenpally,2,Carpet Area,North-East,1,Main Road,Immediately,1,7500.0,1
556,Semi-Furnished,Bachelors/Family,3000,House,4,Mouryas Ranga Prasad Avenue,0,Super Area,Unknown,0,Unknown,Immediately,4,60000.0,0
557,Semi-Furnished,Bachelors/Family,900,House,2,Begumpet,0,Carpet Area,South,0,Unknown,Immediately,2,20000.0,0
558,Semi-Furnished,Bachelors,1180,Apartment,2,Beeramguda,4,Carpet Area,North,1,Unknown,Immediately,2,15000.0,0
559,Unfurnished,Family,1800,House,5,Toli Chowki,0,Super Area,East,2,Garden/Park,Immediately,4,20000.0,1
560,Unfurnished,Bachelors,1400,Apartment,3,Vidyanagar,5,Carpet Area,North,3,Unknown,Immediately,2,20000.0,1
561,Semi-Furnished,Bachelors,2300,House,3,Vikrampuri,1,Carpet Area,South,2,Garden/Park,Immediately,3,37000.0,0
562,Semi-Furnished,Bachelors/Family,1750,House,4,Tolochouki,3,Carpet Area,East,3,Unknown,Immediately,3,30000.0,1
563,Unfurnished,Bachelors/Family,1100,House,2,Beeramguda,1,Carpet Area,East,2,Main Road,Immediately,2,11000.0,0
564,Semi-Furnished,Bachelors/Family,1200,Apartment,2,Shamshabad,2,Carpet Area,North,2,Main Road,Immediately,2,8500.0,1
565,Semi-Furnished,Family,1800,Apartment,3,Nallagandla,5,Carpet Area,North,3,Main Road,Immediately,3,27500.0,2
566,Semi-Furnished,Family,1800,House,3,MLA Colony,1,Super Area,North,3,Main Road,Immediately,3,26000.0,1
567,Furnished,Bachelors,2200,Apartment,3,Madhapur,1,Carpet Area,South,3,Main Road,Immediately,3,32000.0,2
568,Furnished,Bachelors,100,Apartment,1,Prashasan Nagar,0,Carpet Area,North-East,1,Main Road,Immediately,1,32000.0,0
569,Unfurnished,Bachelors/Family,750,Apartment,2,Bharathi Nagar,0,Carpet Area,North-East,0,Main Road,Immediately,2,8000.0,0
570,Unfurnished,Bachelors/Family,900,Apartment,2,Miyapur,2,Carpet Area,West,1,Main Road,Immediately,2,15000.0,0
571,Unfurnished,Bachelors/Family,500,House,1,Vanasthalipuram,2,Carpet Area,North,0,Main Road,Immediately,1,6000.0,0
572,Unfurnished,Bachelors,1025,Apartment,3,Manikonda,1,Carpet Area,East,2,Unknown,Immediately,2,21000.0,0
573,Unfurnished,Bachelors,1570,Apartment,3,Shanthi Nagar-Kukatpally,2,Carpet Area,South,3,Garden/Park,Immediately,3,16500.0,0
574,Semi-Furnished,Family,1650,Apartment,3,OU Colony,1,Carpet Area,North,0,Garden/Park,Immediately,2,31000.0,1
575,Unfurnished,Bachelors,1150,House,2,Gachibowli,2,Carpet Area,West,2,Unknown,Immediately,2,19500.0,0
576,Semi-Furnished,Bachelors/Family,1100,House,2,Nizampet,1,Carpet Area,East,0,Main Road,Immediately,2,15000.0,2
577,Unfurnished,Bachelors,1000,House,2,Hyderguda,2,Super Area,East,1,Unknown,Immediately,2,14500.0,0
578,Semi-Furnished,Bachelors/Family,1200,Apartment,2,Gachibowli,2,Carpet Area,East,1,Unknown,Immediately,2,23000.0,0
579,Semi-Furnished,Family,900,Apartment,2,Old Nallakunta,1,Carpet Area,East,1,Unknown,Immediately,2,13500.0,1
580,Unfurnished,Bachelors/Family,1000,Apartment,2,Attapur,2,Carpet Area,East,2,Unknown,Immediately,2,12000.0,0
581,Semi-Furnished,Bachelors/Family,500,Apartment,1,Marthanda Nagar,3,Carpet Area,East,1,Main Road,Immediately,1,12000.0,2
582,Unfurnished,Bachelors,300,House,1,Yousufguda,2,Carpet Area,North-East,1,Main Road,Immediately,1,8800.0,0
583,Unfurnished,Bachelors/Family,1350,Apartment,3,Manikonda,3,Carpet Area,North-East,2,Unknown,Immediately,2,15500.0,0
584,Semi-Furnished,Family,1400,Apartment,3,MADEENAGUDA,3,Carpet Area,East,2,Garden/Park,Immediately,3,17500.0,1
585,Unfurnished,Family,1800,House,2,Manikonda,2,Carpet Area,North-West,3,Main Road,Immediately,3,15000.0,0
586,Unfurnished,Bachelors/Family,1000,Apartment,2,Nizampet,0,Carpet Area,East,1,Main Road,Immediately,2,13500.0,0
587,Semi-Furnished,Bachelors,1700,Apartment,3,Narsingi,7,Carpet Area,East,2,Main Road,Immediately,3,18000.0,1
588,Semi-Furnished,Bachelors/Family,1280,Apartment,3,Kukatpally,1,Carpet Area,North-East,1,Main Road,Immediately,2,13500.0,0
589,Semi-Furnished,Bachelors,1800,Apartment,3,Kavuri Hills,3,Carpet Area,East,0,Main Road,Immediately,3,35000.0,1
590,Furnished,Bachelors/Family,1150,Apartment,2,Hafeezpet,10,Carpet Area,East,2,Garden/Park,Immediately,2,27500.0,2
591,Furnished,Family,1650,Apartment,3,Banjara Hills,3,Carpet Area,South,1,Main Road,Immediately,3,55000.0,1
592,Semi-Furnished,Bachelors/Family,380,Unknown,0,Prashasan Nagar,3,Carpet Area,North-East,1,Main Road,Immediately,1,10000.0,0
593,Furnished,Bachelors/Family,1600,Apartment,3,Defence Colony,2,Carpet Area,East,3,Unknown,Immediately,3,23000.0,0
594,Semi-Furnished,Bachelors/Family,2000,Apartment,3,Nallagandla,9,Carpet Area,East,2,Unknown,Immediately,3,28000.0,0
595,Furnished,Bachelors,1150,Apartment,3,Puppalaguda,5,Carpet Area,South,3,Garden/Park,Immediately,3,18500.0,0
596,Semi-Furnished,Bachelors/Family,1300,Apartment,3,Silpa Park,5,Carpet Area,East,2,Main Road,Immediately,3,24000.0,0
597,Semi-Furnished,Bachelors,1400,House,2,Vanasthalipuram,1,Carpet Area,North-East,2,Unknown,Immediately,2,15000.0,0
598,Semi-Furnished,Bachelors/Family,2300,Apartment,3,Kokapet,7,Carpet Area,West,3,Main Road,Immediately,3,50000.0,2
599,Semi-Furnished,Bachelors/Family,1400,Apartment,3,Puppalaguda,5,Carpet Area,East,1,Unknown,Immediately,3,18000.0,0
600,Semi-Furnished,Bachelors/Family,1670,Apartment,3,Alkapur Township,2,Carpet Area,West,3,Main Road,Immediately,3,25000.0,1
601,Semi-Furnished,Bachelors/Family,850,House,2,Madhura Nagar-Nizampet,2,Carpet Area,Unknown,2,Unknown,Immediately,2,12000.0,0
602,Semi-Furnished,Family,1600,Apartment,3,Bikshapathi Nagar,3,Carpet Area,West,3,Unknown,Immediately,3,23000.0,1
603,Semi-Furnished,Bachelors,1300,Apartment,3,Manikonda,0,Carpet Area,West,1,Garden/Park,Immediately,3,28000.0,0
604,Semi-Furnished,Bachelors/Family,1700,House,3,Sangeet Nagar Somajiguda,1,Carpet Area,Unknown,2,Main Road,Immediately,3,20000.0,1
605,Semi-Furnished,Bachelors,2000,Villa,4,Sathyanarayanapuram,0,Carpet Area,East,2,Unknown,Immediately,4,13000.0,1
606,Unfurnished,Bachelors,1150,Apartment,2,Gopanapalli,3,Carpet Area,East,2,Unknown,Immediately,2,20000.0,1
607,Semi-Furnished,Bachelors/Family,1700,Apartment,3,Kondapur,3,Carpet Area,Unknown,0,Unknown,Immediately,4,30000.0,0
608,Unfurnished,Bachelors/Family,2300,Apartment,4,Kondapur,1,Carpet Area,Unknown,3,Main Road,Immediately,4,50000.0,0
609,Unfurnished,Bachelors/Family,950,Apartment,2,Moula Ali,3,Carpet Area,North,2,Main Road,Immediately,2,13000.0,1
610,Semi-Furnished,Bachelors/Family,1650,Apartment,3,Kokapet,5,Carpet Area,Unknown,1,Garden/Park,Immediately,3,42000.0,0
611,Semi-Furnished,Bachelors/Family,2050,Apartment,3,Srinagar Colony,5,Carpet Area,South,2,Main Road,Immediately,3,50000.0,0
612,Unfurnished,Bachelors,1350,House,2,Kondapur,1,Carpet Area,North-East,2,Main Road,Immediately,2,21000.0,0
613,Furnished,Bachelors/Family,4300,Villa,4,Serilingampally,0,Carpet Area,East,4,Main Road,Immediately,4,100000.0,2
614,Furnished,Bachelors/Family,1750,Apartment,3,Kondapur,2,Carpet Area,North,2,Garden/Park,Immediately,3,40000.0,2
615,Semi-Furnished,Family,1357,Apartment,3,Lingampally-Serilingampally,2,Carpet Area,East,0,Main Road,Immediately,2,25000.0,0
616,Semi-Furnished,Family,1685,Apartment,3,Hafeezpet,2,Carpet Area,East,1,Garden/Park,Immediately,2,20000.0,1
617,Semi-Furnished,Family,2300,Villa,4,Beeramguda,0,Carpet Area,West,1,Main Road,Immediately,3,20000.0,2
618,Semi-Furnished,Bachelors/Family,2000,Apartment,3,Vittal Rao Nagar,3,Carpet Area,South,3,Main Road,Immediately,3,46000.0,2
619,Semi-Furnished,Bachelors/Family,1300,House,2,Ayyappa Society,0,Carpet Area,West,0,Main Road,Immediately,2,30000.0,0
620,Semi-Furnished,Family,2800,Apartment,4,Langar Houz,4,Carpet Area,West,1,Garden/Park,Immediately,5,35000.0,3
621,Semi-Furnished,Bachelors/Family,1700,Apartment,3,Gandhi Nagar,1,Carpet Area,East,2,Main Road,Immediately,3,30000.0,1
622,Unfurnished,Bachelors/Family,860,Apartment,2,Bhargavi residency,1,Super Area,Unknown,0,Unknown,Immediately,2,15000.0,0
623,Furnished,Bachelors/Family,450,Unknown,0,Kondapur,4,Carpet Area,East,0,Main Road,Immediately,1,25000.0,1
624,Semi-Furnished,Bachelors,1000,Apartment,2,Kondapur,4,Carpet Area,North-East,1,Main Road,Immediately,2,20000.0,0
625,Semi-Furnished,Bachelors/Family,1375,Apartment,3,Nizampet,2,Carpet Area,East,1,Unknown,Immediately,2,20000.0,0
626,Semi-Furnished,Family,2500,House,3,Shaikpet,0,Super Area,North,2,Unknown,Immediately,3,35000.0,0
627,Semi-Furnished,Bachelors/Family,2150,Apartment,3,Madhura Nagar,5,Carpet Area,East,1,Main Road,Immediately,2,24000.0,0
628,Semi-Furnished,Bachelors/Family,700,House,2,Masab Tank,0,Carpet Area,East,0,Unknown,Immediately,1,10000.0,0
629,Semi-Furnished,Family,1500,Apartment,3,Toli Chowki,3,Carpet Area,East,2,Main Road,Immediately,3,27000.0,1
630,Semi-Furnished,Bachelors/Family,1585,Apartment,3,Gachibowli,9,Carpet Area,West,1,Garden/Park,Immediately,3,32000.0,2
631,Unfurnished,Bachelors/Family,1200,House,2,Manikonda,1,Carpet Area,East,0,Main Road,Immediately,2,16000.0,0
632,Semi-Furnished,Bachelors/Family,1050,Apartment,2,Amberpet,3,Carpet Area,Unknown,1,Main Road,Immediately,2,16000.0,1
633,Semi-Furnished,Bachelors/Family,4400,Apartment,4,Madhapur,4,Carpet Area,Unknown,2,Main Road,Immediately,3,100000.0,0
634,Semi-Furnished,Bachelors,1805,Apartment,3,Manikonda,4,Carpet Area,East,1,Main Road,Immediately,3,27000.0,0
635,Semi-Furnished,Family,2403,Villa,3,BHEL Employees Co-operative Housing Society,0,Carpet Area,West,1,Garden/Park,Immediately,3,15000.0,1
636,Semi-Furnished,Bachelors/Family,1800,House,2,Padmarao Nagar,0,Carpet Area,East,3,Main Road,Immediately,3,27000.0,1
637,Unfurnished,Bachelors/Family,1022,House,2,Kismatpur,0,Carpet Area,North,1,Main Road,Immediately,2,9500.0,0
638,Semi-Furnished,Family,2000,Apartment,4,Gandhi Nagar,1,Carpet Area,East,3,Main Road,Immediately,4,35000.0,2
639,Semi-Furnished,Bachelors,1432,Apartment,3,Masjid Banda,4,Carpet Area,East,2,Main Road,Immediately,3,27500.0,1
640,Semi-Furnished,Bachelors,1373,Apartment,3,KPHB Phase 3,14,Carpet Area,South,3,Garden/Park,Immediately,2,30000.0,2
641,Semi-Furnished,Bachelors/Family,1700,Apartment,3,Hafeezpet,7,Carpet Area,North-East,4,Garden/Park,Immediately,3,26000.0,1
642,Unfurnished,Bachelors,1100,House,2,Hayathnagar,1,Carpet Area,North-West,1,Garden/Park,Immediately,2,10000.0,0
643,Semi-Furnished,Family,1800,Apartment,3,Nallagandla,11,Carpet Area,East,3,Pool,Immediately,3,46940.0,2
644,Unfurnished,Bachelors,1400,Apartment,3,Toli Chowki,1,Carpet Area,North-East,1,Garden/Park,Immediately,2,15000.0,0
645,Furnished,Bachelors/Family,1240,Apartment,2,Bandlaguda Jagir,12,Carpet Area,East,0,Unknown,Immediately,2,22000.0,0
646,Semi-Furnished,Bachelors/Family,1375,Apartment,3,Abhudaya Nagar Colony,5,Carpet Area,West,1,Garden/Park,Immediately,2,14000.0,1
647,Furnished,Bachelors/Family,1222,Apartment,2,Kondapur,2,Carpet Area,East,2,Garden/Park,Immediately,2,28000.0,0
648,Semi-Furnished,Bachelors,1000,Apartment,2,Vivekananda Nagar,3,Carpet Area,North-East,2,Main Road,Immediately,2,18000.0,0
649,Unfurnished,Family,1150,Apartment,2,Bandlaguda Jagir,4,Carpet Area,East,2,Garden/Park,Immediately,2,15000.0,0
650,Unfurnished,Bachelors/Family,1200,House,2,Saibaba Nagar-Kismatpur,3,Carpet Area,East,0,Garden/Park,Immediately,2,15000.0,0
651,Semi-Furnished,Bachelors,1300,House,2,Balaji Enclave,0,Carpet Area,East,1,Unknown,Immediately,2,11500.0,1
652,Unfurnished,Bachelors,1400,Apartment,3,Kalyan Puri,3,Carpet Area,North,1,Main Road,Immediately,3,24000.0,0
653,Furnished,Family,1800,Apartment,3,Nanakram Guda,2,Carpet Area,East,2,Unknown,Immediately,3,37000.0,2
654,Furnished,Bachelors/Family,1284,Apartment,3,Kokapet,3,Carpet Area,East,1,Unknown,Immediately,3,30000.0,0
655,Semi-Furnished,Bachelors,1100,Apartment,3,Gachibowli,23,Carpet Area,East,2,Garden/Park,Immediately,2,25000.0,1
656,Unfurnished,Bachelors/Family,900,Apartment,2,Asif Nagar,2,Carpet Area,Unknown,0,Main Road,Immediately,2,12000.0,0
657,Unfurnished,Bachelors/Family,1200,Apartment,2,Gachibowli,1,Carpet Area,East,1,Garden/Park,Immediately,2,17000.0,2
658,Semi-Furnished,Bachelors/Family,2525,Apartment,3,Nanakaramguda,1,Super Area,Unknown,0,Garden/Park,Immediately,4,45000.0,0
