,Title,Amenities,Amount
78,3 BHK Apartment for Rent in Chikkadpally,FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1350 sqftFloor2 out of 5facingNorth - EastBathroom2Balcony1,"₹30,000"
79,3 BHK Apartment for Rent in Kondapur,FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1600 sqftFloor5 out of 5facingNorth - EastoverlookingMain RoadBathroom3Balcony2,"₹22,500"
80,2 BHK Apartment for Rent in Kondapur,FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1100 sqftFloor2 out of 4facingEastoverlookingMain RoadOwnershipFreeholdBathroom2Balcony2,"₹16,000"
81,2 BHK Apartment for Rent in Appa junction,"FurnishingFurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1100 sqftFloor16 out of 20facingWestoverlookingGarden/Park, Pool, Main RoadBathroom2Balcony1","₹22,500"
82,1 BHK Builder Floor for Rent in Kondapur,FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area540 sqftFloor1 out of 5facingNorthoverlookingMain RoadBathroom1Balcony1,"₹10,000"
83,4 BHK Villa for Rent in Gandipet,FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area5000 sqftfacingWestoverlookingGarden/ParkBathroom5Balcony2,₹3 Lac
84,3 BHK Apartment for Rent in Gachibowli,FurnishingFurnishedTenant PreferredBachelorsAvailabilityImmediatelySuper Area2490 sqftFloor2 out of 14facingWestoverlookingGarden/ParkOwnershipFreeholdBathroom3Balcony2,"₹55,000"
85,2 BHK Apartment for Rent in Madhura Nagar,FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1000 sqftFloor5 out of 5facingEastoverlookingMain RoadBathroom2Balcony1,"₹19,000"
86,2 BHK Apartment for Rent in Begumpet,FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1150 sqftFloor3 out of 5facingEastoverlookingMain RoadBathroom2Balcony2,"₹16,000"
87,3 BHK Apartment for Rent in Nanakaramguda,"FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking2 CoveredAvailabilityImmediatelyCarpet Area2500 sqftFloor2 out of 14facingWestoverlookingGarden/Park, Main RoadBathroom3Balcony2","₹44,000"
88,4 BHK Apartment for Rent in Gachibowli,"FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking2 CoveredAvailabilityImmediatelyCarpet Area2136 sqftFloor7 out of 35facingNorth - EastoverlookingGarden/Park, PoolBathroom4Balcony3","₹70,000"
89,4 BHK Villa for Rent in Nalagandla,FurnishingSemi-FurnishedTenant PreferredFamilyAvailabilityImmediatelySuper Area3925 sqftBathroom4Balcony4,"₹80,000"
90,"4 BHK Apartment for Rent in Khaja Guda, Outer Ring Road",FurnishingFurnishedTenant PreferredBachelors/FamilyCar Parking2 CoveredAvailabilityImmediatelyCarpet Area2350 sqftFloor4 out of 14facingEastoverlookingGarden/ParkBathroom4Balcony2,"₹55,600"
91,1 BHK Apartment for Rent in Kondapur,"FurnishingFurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area750 sqftFloor3 out of 5facingEastoverlookingGarden/Park, Main RoadBathroom1Balcony1","₹13,500"
92,"3 BHK Apartment for Rent in Punjagutta, NH 9",FurnishingUnfurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelySuper Area2500 sqftFloor2 out of 4facingEastoverlookingMain RoadBathroom3Balcony3,"₹60,000"
